DATE,CHF1MTD156N,CHF3MTD156N,EUR1MTD156N,EUR3MTD156N,GBP1MTD156N,GBP3MTD156N,JPY1MTD156N,JPY3MTD156N,USD1MTD156N,USD3MTD156N
2015-12-01,-0.859,-0.843,-0.16714,-0.12,0.50225,0.57263,0.03429,0.07286,0.24375,0.4222
2015-12-02,-0.879,-0.863,-0.16929,-0.12143,0.50225,0.57313,0.03429,0.07857,0.251,0.436
2015-12-03,-0.875,-0.862,-0.17857,-0.12857,0.50225,0.57413,0.03857,0.07857,0.2686,0.452
2015-12-04,-0.839,-0.82,-0.18,-0.11,0.50288,0.57438,0.03857,0.08071,0.2755,0.462
2015-12-07,-0.839,-0.823,-0.18429,-0.11214,0.50288,0.57513,0.05086,0.07643,0.287,0.477
2015-12-08,-0.841,-0.823,-0.18714,-0.11429,0.50288,0.57563,0.04143,0.07929,0.2931,0.4865
2015-12-09,-0.839,-0.823,-0.19071,-0.11429,0.50288,0.57775,0.03857,0.07929,0.3005,0.492
2015-12-10,-0.816,-0.784,-0.195,-0.12143,0.50413,0.58263,0.04143,0.07786,0.317,0.502
2015-12-11,-0.804,-0.767,-0.19429,-0.12214,0.50725,0.58575,0.03571,0.07643,0.3305,0.512
2015-12-14,-0.804,-0.771,-0.19571,-0.12357,0.50288,0.58463,0.03357,0.075,0.3445,0.51775
2015-12-15,-0.806,-0.773,-0.19857,-0.12286,0.50194,0.58338,0.03357,0.07929,0.3505,0.52575
2015-12-16,-0.806,-0.771,-0.19857,-0.12286,0.50225,0.58244,0.03714,0.08,0.36,0.5325
2015-12-17,-0.804,-0.769,-0.19857,-0.12357,0.5035,0.58531,0.04,0.08157,0.4021,0.5695
2015-12-18,-0.804,-0.769,-0.19929,-0.12429,0.50194,0.58563,0.04214,0.083,0.413,0.5855
2015-12-21,-0.806,-0.772,-0.19929,-0.12643,0.50225,0.585,0.04871,0.07857,0.4195,0.5931
2015-12-22,-0.806,-0.772,-0.20214,-0.12643,0.50475,0.58594,0.05229,0.08,0.4175,0.59435
2015-12-23,-0.805,-0.769,-0.20571,-0.12714,0.50506,0.58656,0.05286,0.08143,0.4216,0.6031
2015-12-24,-0.805,-0.77,-0.20429,-0.12714,0.50381,0.58794,0.05,0.07714,0.4219,0.6031
2015-12-25,.,.,.,.,.,.,.,.,.,.
2015-12-28,.,.,.,.,.,.,.,.,.,.
2015-12-29,-0.805,-0.767,-0.20429,-0.12714,0.50756,0.58906,0.05071,0.07714,0.4239,0.6067
2015-12-30,-0.798,-0.756,-0.205,-0.12786,0.50881,0.59038,0.05071,0.08143,0.4275,0.6122
2015-12-31,-0.798,-0.756,-0.20429,-0.12786,0.50319,0.59038,0.04929,0.08286,0.4295,0.6127
2016-01-01,.,.,.,.,.,.,.,.,.,.
2016-01-04,-0.798,-0.756,-0.20786,-0.12857,0.506,0.59125,0.04929,0.08286,0.4225,0.6117
2016-01-05,-0.794,-0.754,-0.21,-0.12857,0.50788,0.58938,0.04929,0.08286,0.422,0.6171
2016-01-06,-0.789,-0.748,-0.21143,-0.13143,0.51069,0.59,0.04929,0.08286,0.4235,0.6201
2016-01-07,-0.791,-0.752,-0.21357,-0.13857,0.51038,0.58938,0.04857,0.08286,0.4235,0.61685
2016-01-08,-0.79,-0.751,-0.21357,-0.13857,0.51163,0.58938,0.04857,0.08143,0.4238,0.6211
2016-01-11,-0.79,-0.751,-0.21929,-0.14071,0.51288,0.58938,0.04857,0.08229,0.424,0.6221
2016-01-12,-0.786,-0.749,-0.21929,-0.14071,0.51006,0.5885,0.04786,0.08086,0.4245,0.6236
2016-01-13,-0.786,-0.751,-0.22143,-0.14071,0.51131,0.58938,0.04929,0.08229,0.4255,0.622
2016-01-14,-0.788,-0.753,-0.22286,-0.14643,0.51256,0.58938,0.04857,0.08229,0.4255,0.6211
2016-01-15,-0.788,-0.753,-0.22357,-0.14714,0.51069,0.59063,0.04857,0.08229,0.4255,0.6196
2016-01-18,-0.788,-0.753,-0.22357,-0.14857,0.51038,0.58938,0.04857,0.08229,0.426,0.6238
2016-01-19,-0.785,-0.751,-0.22357,-0.15143,0.51069,0.58938,0.04857,0.07943,0.425,0.6243
2016-01-20,-0.785,-0.753,-0.22571,-0.15571,0.51038,0.58975,0.04857,0.078,0.4253,0.6213
2016-01-21,-0.785,-0.753,-0.22571,-0.15643,0.51038,0.59063,0.04857,0.07943,0.4265,0.6186
2016-01-22,-0.785,-0.756,-0.22571,-0.16286,0.51069,0.59188,0.04857,0.078,0.4255,0.6191
2016-01-25,-0.783,-0.751,-0.22571,-0.16571,0.51069,0.58938,0.04857,0.08071,0.4306,0.6213
2016-01-26,-0.783,-0.751,-0.22714,-0.16929,0.50944,0.58938,0.04857,0.07929,0.4306,0.6211
2016-01-27,-0.785,-0.7506,-0.22857,-0.17071,0.50944,0.58938,0.05143,0.08214,0.428,0.6181
2016-01-28,-0.784,-0.7476,-0.23071,-0.17429,0.50944,0.58938,0.04857,0.08214,0.4262,0.6156
2016-01-29,-0.789,-0.757,-0.23286,-0.18071,0.50944,0.58938,0.02143,0.04771,0.425,0.6126
2016-02-01,-0.789,-0.756,-0.23286,-0.18143,0.51069,0.58938,0.02314,0.03986,0.427,0.6186
2016-02-02,-0.783,-0.751,-0.23286,-0.18071,0.51131,0.59125,0.026,0.04271,0.4285,0.6192
2016-02-03,-0.783,-0.751,-0.23714,-0.18357,0.51131,0.59094,0.01729,0.04271,0.4285,0.6206
2016-02-04,-0.781,-0.749,-0.23714,-0.18529,0.51131,0.59031,0.00729,0.03843,0.4277,0.6202
2016-02-05,-0.783,-0.751,-0.24,-0.18814,0.50975,0.59094,-0.00271,0.03057,0.4289,0.6197
2016-02-08,-0.781,-0.749,-0.24143,-0.19057,0.51006,0.59044,-0.00557,0.03043,0.42925,0.621
2016-02-09,-0.793,-0.7626,-0.24429,-0.19343,0.50881,0.58906,-0.00771,0.01686,0.4285,0.6205
2016-02-10,-0.793,-0.7636,-0.24429,-0.19414,0.50881,0.59138,-0.002,0.02543,0.4265,0.6176
2016-02-11,-0.803,-0.7816,-0.24643,-0.19643,0.50881,0.591,-0.01129,0.01686,0.427,0.6172
2016-02-12,-0.797,-0.7756,-0.24857,-0.202,0.50881,0.58975,-0.01414,0.01186,0.4305,0.6182
2016-02-15,-0.7946,-0.7742,-0.24857,-0.20129,0.50913,0.59288,-0.01343,0.01757,0.42925,0.6182
2016-02-16,-0.7946,-0.7742,-0.25329,-0.20657,0.50913,0.59288,-0.01757,0.014,0.4295,0.6182
2016-02-17,-0.7966,-0.7762,-0.255,-0.208,0.50788,0.59063,-0.03329,0.00414,0.43005,0.6194
2016-02-18,-0.8006,-0.7802,-0.25571,-0.21229,0.50819,0.59094,-0.034,0.00129,0.432,0.6182
2016-02-19,-0.8026,-0.7822,-0.26043,-0.21343,0.50819,0.59063,-0.03757,-0.00443,0.4335,0.6182
2016-02-22,-0.8002,-0.7822,-0.26214,-0.21571,0.50819,0.59,-0.03971,-0.00657,0.4335,0.6246
2016-02-23,-0.8132,-0.7962,-0.26357,-0.21571,0.50819,0.59063,-0.04329,-0.008,0.4358,0.6291
2016-02-24,-0.8202,-0.8056,-0.26357,-0.21586,0.50981,0.59063,-0.04186,-0.00229,0.4338,0.6346
2016-02-25,-0.8232,-0.8086,-0.26571,-0.21729,0.50913,0.59031,-0.04186,-0.00657,0.4385,0.6356
2016-02-26,-0.8292,-0.8066,-0.26629,-0.22043,0.50788,0.59,-0.05257,-0.00757,0.4385,0.6351
2016-02-29,-0.8332,-0.8046,-0.27229,-0.22286,0.50788,0.59125,-0.053,-0.00714,0.4405,0.6331
2016-03-01,-0.8292,-0.8048,-0.27786,-0.22286,0.506,0.58844,-0.05157,-0.00571,0.43525,0.6316
2016-03-02,-0.8272,-0.801,-0.28,-0.227,0.50913,0.58719,-0.04871,-0.005,0.4376,0.63485
2016-03-03,-0.8282,-0.803,-0.28357,-0.22914,0.50913,0.58806,-0.04657,-0.01,0.4405,0.6356
2016-03-04,-0.8282,-0.8,-0.285,-0.23014,0.50788,0.58844,-0.04657,-0.01,0.438,0.6335
2016-03-07,-0.8282,-0.8,-0.28571,-0.23514,0.50913,0.58469,-0.04229,-0.01029,0.4405,0.6361
2016-03-08,-0.8262,-0.797,-0.28857,-0.23929,0.50788,0.58438,-0.038,-0.00757,0.44185,0.63515
2016-03-09,-0.8226,-0.7842,-0.29,-0.24214,0.50913,0.58688,-0.03443,-0.00329,0.438,0.6346
2016-03-10,-0.8226,-0.7842,-0.296,-0.24286,0.50819,0.59063,-0.02843,0.001,0.4381,0.63235
2016-03-11,-0.8126,-0.7562,-0.301,-0.23571,0.50819,0.59063,-0.02843,0.001,0.4362,0.63385
2016-03-14,-0.8046,-0.7522,-0.31386,-0.23929,0.51006,0.59063,-0.05843,-0.00329,0.4413,0.63955
2016-03-15,-0.8026,-0.7522,-0.31986,-0.24286,0.50788,0.59125,-0.06057,-0.00171,0.44125,0.64195
2016-03-16,-0.7956,-0.7432,-0.32414,-0.24571,0.50819,0.59125,-0.067,-0.00314,0.4399,0.639
2016-03-17,-0.7836,-0.7332,-0.32771,-0.24786,0.50944,0.58875,-0.05843,-0.00743,0.4321,0.6234
2016-03-18,-0.779,-0.7312,-0.32914,-0.24643,0.511,0.58875,-0.07129,-0.00671,0.4283,0.6243
2016-03-21,-0.779,-0.7312,-0.32914,-0.24857,0.51069,0.58844,-0.08271,-0.01129,0.4318,0.6246
2016-03-22,-0.7856,-0.7332,-0.32943,-0.24943,0.50944,0.58813,-0.07414,-0.007,0.4315,0.62835
2016-03-23,-0.7826,-0.7292,-0.32971,-0.24943,0.511,0.58688,-0.068,-0.00557,0.433,0.6301
