Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,January 2020,4,0,1,Imports,724,Spain,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,60219,,5651,,,0
HS,2020,202007,July 2020,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,763910,,19878,,,0
HS,2020,202002,February 2020,4,0,2,Exports,724,Spain,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,103576270,,2242807,,,0
HS,2020,202007,July 2020,4,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,26932900,,191011,,,0
HS,2020,202002,February 2020,4,0,1,Imports,710,South Africa,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3,,21,,,0
HS,2020,202003,March 2020,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1014080,,21994,,,0
HS,2020,202002,February 2020,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3834686,,158330,,,0
HS,2020,202003,March 2020,4,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,24473140,,195452,,,0
HS,2020,202006,June 2020,4,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,25220380,,175313,,,0
HS,2020,202003,March 2020,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,4344952,,140963,,,0
HS,2020,202005,May 2020,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3971466,,83709,,,0
HS,2020,202007,July 2020,4,0,2,Exports,699,India,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3575765,,684553,,,0
HS,2020,202006,June 2020,4,0,2,Exports,699,India,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,2622552,,390146,,,0
